Annual CO2 emissions (per capita),Coal per capita (kWh),Deaths - Cause: All causes - Risk: Air pollution - Sex: Both - Age: All Ages (Number),Entity,Exports of goods and services (constant 2015 US$),GDP per capita growth (annual %),Gas per capita (kWh),Imports of goods and services (constant 2015 US$),Oil per capita (kWh),Population (historical estimates),Renewables(TWh_growth_equivalent),Year
15.1173,22261.7890625,,Australia,46424809472,1.7870804071426392,7585.8818359375,31125749760,25209.591796875,14588400,-2.4101943969726562,1980
15.574,22544.05078125,,Australia,44170866688,1.711915135383606,8116.83251953125,34068987904,24525.4375,14777241,1.2426986694335938,1981
15.6148,22476.533203125,,Australia,45214396416,1.6142079830169678,7809.5498046875,38009532416,23822.97265625,14979203,-2.88336181640625,1982
14.7942,22149.6171875,,Australia,45449392128,-3.437117099761963,8363.1318359375,34801565696,21065.544921875,15194644,-2.183582305908203,1983
15.3257,23075.87109375,,Australia,48917835776,3.4183454513549805,8125.26708984375,36885946368,21459.869140625,15423156,2.995716094970703,1984
15.3858,23502.71875,,Australia,56469803008,3.822749137878418,8551.8017578125,43024220160,21246.666015625,15663672,2.456531524658203,1985
15.0609,23715.044921875,,Australia,58606583808,2.339808940887451,9192.935546875,42922283008,20615.384765625,15917580,0.2649688720703125,1986
15.8104,24306.818359375,,Australia,64481550336,0.9999935030937195,9231.4853515625,40893435904,20803.720703125,16183159,-1.1863670349121094,1987
15.8575,25149.3671875,,Australia,69930786816,4.027570724487305,9299.2333984375,45482876928,21393.60546875,16452258,2.964111328125,1988
16.6029,25963.78125,,Australia,70656221184,2.1212592124938965,9984.189453125,56800157696,21928.708984375,16713989,0.013336181640625,1989
16.4714,26198.791015625,2555,Australia,73955737600,2.051928997039795,9891.12890625,59990630400,22103.26171875,16960600,1.33453369140625,1990
16.3981,26369.056640625,2480,Australia,82280808448,-1.656572699546814,9355.9150390625,56562049024,21095.810546875,17189235,2.5319671630859375,1991
16.4538,26201.220703125,2461,Australia,90060283904,-0.7972689270973206,9560.271484375,58540691456,21293.1328125,17402179,0.7132644653320312,1992
16.5495,26068.4765625,2411,Australia,96734240768,3.020731210708618,9798.9765625,62401359872,21703.537109375,17603211,1.3306503295898438,1993
16.8601,26309.138671875,2413,Australia,105912811520,2.8856358528137207,10763.0576171875,67082092544,22225.951171875,17798526,-0.5975990295410156,1994
17.1189,26908.490234375,2370,Australia,110586896384,2.587043285369873,10749.4482421875,78045634560,23774.5546875,17993083,-1.1073532104492188,1995
17.3911,27706.345703125,2361,Australia,121601851392,2.498884677886963,10711.072265625,81703190528,24135.94921875,18189274,1.3974037170410156,1996
17.7901,28794.9296875,2318,Australia,134836019200,2.7523202896118164,10404.2470703125,89787392000,24259.140625,18387205,0.13029861450195312,1997
18.2222,29756.4140625,2261,Australia,141010681856,3.5293490886688232,10596.271484375,98986819584,23993.626953125,18587027,-0.14301300048828125,1998
18.4477,31266.615234375,2202,Australia,143711469568,3.7445907592773438,10737.625,104047910912,24278.763671875,18788187,1.6860008239746094,1999
18.5252,31154.146484375,2149,Australia,157927178240,2.6808650493621826,10823.341796875,116583112704,24009.85546875,18991434,0.055416107177734375,2000
18.7789,30513.21875,2105,Australia,171575476224,0.6716929078102112,11549.72265625,115447349248,23813.130859375,19194676,-1.1497650146484375,2001
18.922,30867.521484375,2049,Australia,170733568000,2.7526795864105225,11759.38671875,117004550144,23811.45703125,19401366,1.8346023559570312,2002
19.0191,31390.9609375,1955,Australia,171593875456,1.845765471458435,11717.3349609375,132446470144,23453.736328125,19624163,1.8881568908691406,2003
19.4554,32290.357421875,1840,Australia,173874380800,3.00431489944458,11797.791015625,150324985856,23707.44140625,19879654,2.05303955078125,2004
19.2086,31628.76171875,1768,Australia,179889651712,1.807784080505371,11526.591796875,169114845184,23723.3125,20178543,4.144966125488281,2005
19.3554,31934.583984375,1738,Australia,185265340416,1.222561001777649,12638.9365234375,183424057344,24049.234375,20526300,1.4304466247558594,2006
19.2159,31066.740234375,1738,Australia,192965787648,3.122288703918457,13874.2314453125,202433757184,24204.53515625,20916339,-2.3705596923828125,2007
19.2034,31749.583984375,1727,Australia,200722104320,1.5219695568084717,13376.4140625,231758118912,24034.73046875,21332293,-3.5075416564941406,2008
18.4508,30107.384765625,1682,Australia,205575340032,-0.21120114624500275,13395.537109375,223155093504,23177.978515625,21750852,2.78961181640625,2009
18.2595,27416.060546875,1662,Australia,215249108992,0.5953537225723267,14311.3837890625,238652555264,23440.0390625,22154687,5.895107269287109,2010
17.9849,26269.505859375,1674,Australia,217073909760,1.0557478666305542,14550.4169921875,263541899264,24272.794921875,22538002,23.58692169189453,2011
17.5806,24208.412109375,1674,Australia,227070541824,2.118896961212158,14390.98828125,293325733888,24511.88671875,22903951,-1.2831039428710938,2012
16.907,22629.279296875,1686,Australia,239129034752,0.849416971206665,14910.36328125,295372062720,24856.556640625,23254912,13.925323486328125,2013
16.9201,22117.263671875,1725,Australia,253656711168,1.0444896221160889,15773.9716796875,286770593792,24386.244140625,23596426,-7.83837890625,2014
16.8507,22580.642578125,1761,Australia,271042510848,0.7122564911842346,16210.5078125,291125723136,23841.1640625,23932499,7.148658752441406,2015
17.1434,22258.94140625,1725,Australia,288399720448,1.1493474245071411,15608.681640625,290177843200,23563.857421875,24262710,14.841789245605469,2016
16.8704,21213.50390625,1697,Australia,304253599744,0.587161123752594,15096.5849609375,305405263872,24388.40625,24584619,-7.434242248535156,2017
16.7081,20438.5546875,1812,Australia,316772548608,1.3028407096862793,14767.408203125,326651478016,24504.27734375,24898153,26.543548583984375,2018
16.447,19298.802734375,1907,Australia,329342582784,0.5711029767990112,17427.26953125,327311032320,23972.92578125,25203200,14.535385131835938,2019
15.3684,18373.634765625,,Australia,323608608768,-1.2785263061523438,16900.3203125,302217068544,20477.2421875,25499881,22.8466796875,2020
,17564.923828125,,Australia,,,15281.1328125,,20798.220703125,25788217,33.55369567871094,2021
0.0954,18.135845184326172,,Bangladesh,1498680064,-1.8525797128677368,154.3345184326172,5804206592,242.22906494140625,79639498,-0.011828064918518066,1980
0.0964,18.15854263305664,,Bangladesh,1022594304,4.4431562423706055,166.49468994140625,2756330752,243.28660583496094,81767516,0.12419354915618896,1981
0.1019,21.43008041381836,,Bangladesh,977030080,-0.4997241497039795,210.58497619628906,3015549184,233.77601623535156,83932132,-0.30161309242248535,1982
0.0951,11.817461013793945,,Bangladesh,1067267904,1.2155290842056274,228.30990600585938,2890481664,203.70310974121094,86142490,0.41102170944213867,1983
0.1027,4.607591152191162,,Bangladesh,1057186048,2.10780930519104,256.746826171875,2703518208,199.98582458496094,88416529,0.694892406463623,1984
0.1123,6.2761454582214355,,Bangladesh,1140690816,0.6690330505371094,284.0379943847656,2899305472,217.4730682373047,90764180,-0.46720433235168457,1985
0.1224,9.231855392456055,,Bangladesh,1127580800,1.46427583694458,311.9530029296875,2778736128,228.30813598632812,93187593,-0.8545697927474976,1986
0.1233,14.156530380249023,,Bangladesh,1149009152,1.0785324573516846,357.0138244628906,2937173760,218.9320831298828,95671159,0.19811809062957764,1987
0.1373,14.208338737487793,,Bangladesh,1271719040,-0.20728956162929535,409.4364929199219,3157247744,213.71873474121094,98186350,0.46720433235168457,1988
0.1329,14.43154525756836,,Bangladesh,1384917120,0.274084210395813,422.05133056640625,3632322816,227.8349609375,100695496,0.7244622707366943,1989
0.1365,31.719751358032227,189795,Bangladesh,1631244416,3.086982011795044,443.3570556640625,3970590464,215.44442749023438,103171957,-0.10645151138305664,1990
0.1396,9.908267974853516,179652,Bangladesh,1580813696,1.1066471338272095,446.0973205566406,3374309376,195.2938690185547,105599125,-0.13602137565612793,1991
0.1424,9.09732437133789,176502,Bangladesh,1926151808,3.11421537399292,475.7214050292969,3077684992,213.03456115722656,107983708,-0.12419366836547852,1992
0.1456,3.3185629844665527,172532,Bangladesh,2241904128,2.4655823707580566,521.0892333984375,4229321216,233.52076721191406,110350641,-0.5559139251708984,1993
0.1556,3.042078733444214,168986,Bangladesh,2324369664,1.6904165744781494,540.9523315429688,3970863872,238.22406005859375,112737684,0.7067205905914307,1994
0.1827,32.402549743652344,168346,Bangladesh,3038511616,2.9012441635131836,585.4248657226562,5892618752,302.6266174316406,115169933,-1.4045701026916504,1995
0.1827,17.391433715820312,164776,Bangladesh,3283883520,2.3196351528167725,615.0846557617188,6724041728,302.647705078125,117649927,1.0852150917053223,1996
0.1925,31.250347137451172,161147,Bangladesh,3754062592,2.3066768646240234,591.980712890625,6928534016,340.1859130859375,120160571,-0.05913972854614258,1997
0.1891,8.812736511230469,158852,Bangladesh,4214594048,3.0146830081939697,626.5299072265625,7238306816,367.25396728515625,122682818,0.4317207336425781,1998
0.2003,4.271683216094971,157848,Bangladesh,4309451264,2.5742082595825195,669.4129028320312,7405191680,320.9837951660156,125189655,-0.09462404251098633,1999
0.2078,30.052474975585938,159196,Bangladesh,4929932800,3.2574965953826904,709.5676879882812,8163033600,309.3246765136719,127657862,-0.24838709831237793,2000
0.2386,31.27820587158203,158355,Bangladesh,5664685056,3.1138060092926025,779.7147216796875,9211871232,362.5736389160156,130088709,0.7024385929107666,2001
0.2414,32.07426071166992,160499,Bangladesh,5655389184,1.9603948593139648,805.5021362304688,8765332480,357.5263977050781,132478076,-0.7307248115539551,2002
0.2482,30.143766403198242,162577,Bangladesh,5559452160,2.941850185394287,851.568603515625,9514729472,364.239501953125,134791598,-0.011694669723510742,2003
0.2624,29.703248977661133,163094,Bangladesh,10319082496,3.553358554840088,900.8361206054688,17578414080,338.2044982910156,136986429,-0.010974645614624023,2004
0.271,60.042179107666016,165735,Bangladesh,14756419584,4.965840816497803,953.9547119140625,24269246464,335.33056640625,139035505,-0.00941014289855957,2005
0.2958,90.0068588256836,168250,Bangladesh,18515810304,5.244541168212891,1019.2485961914062,28683931648,334.3923645019531,140921154,-0.0032944679260253906,2006
0.2989,72.55972290039062,168350,Bangladesh,20918347776,5.753407001495361,1075.0267333984375,33269356544,312.34649658203125,142660381,-0.0032644271850585938,2007
0.3139,75.50762939453125,165928,Bangladesh,22399494144,4.80617618560791,1134.8543701171875,32636827648,313.7306213378906,144304164,0.5725464820861816,2008
0.3368,93.30030822753906,165123,Bangladesh,22405879808,3.8785006999969482,1284.684814453125,31788382208,290.0913391113281,145924795,-1.4683046340942383,2009
0.3659,58.7886848449707,166128,Bangladesh,22616838144,4.390963077545166,1304.670166015625,32006596608,319.5714111328125,147575433,0.9148082733154297,2010
0.3789,86.52288055419922,158413,Bangladesh,29252421632,5.253547191619873,1311.8333740234375,41337466880,408.26104736328125,149273134,0.42338085174560547,2011
0.4019,70.57423400878906,152624,Bangladesh,32918409216,5.299260139465332,1412.9449462890625,45685575680,430.7019958496094,151005733,-0.18381571769714355,2012
0.4044,96.58246612548828,153263,Bangladesh,33725532160,4.795196056365967,1437.0635986328125,46242095104,416.8160095214844,152761413,-0.03841996192932129,2013
0.427,57.29707336425781,157813,Bangladesh,34805137408,4.8557562828063965,1489.9468994140625,46782349312,462.6806640625,154517385,-0.34822988510131836,2014
0.469,168.64666748046875,158098,Bangladesh,33820153856,5.366866111755371,1654.5933837890625,48280649728,484.2402648925781,156256287,0.9553635120391846,2015
0.4841,122.58004760742188,160162,Bangladesh,34563096576,5.946678161621094,1674.3526611328125,44856643584,524.1911010742188,157977151,0.004666328430175781,2016
0.5069,136.05918884277344,167502,Bangladesh,33753417728,6.136478424072266,1665.3162841796875,46146490368,582.7672119140625,159685421,0.45691657066345215,2017
0.5118,147.5200653076172,170422,Bangladesh,36483510272,6.7332987785339355,1699.6876220703125,58611793920,655.3212280273438,161376713,-0.39682698249816895,2018
0.5778,236.40487670898438,173515,Bangladesh,40474021888,7.045288562774658,1897.277099609375,57427255296,623.3878784179688,163046173,0.015587568283081055,2019
0.5637,264.3718566894531,,Bangladesh,33091928064,2.4763598442077637,1816.46875,51432411136,566.0731201171875,164689383,-0.16782808303833008,2020
,229.4381561279297,,Bangladesh,,,1871.8560791015625,,642.8917846679688,166303494,0.09877276420593262,2021
1.4944,3538.703125,,China,,6.490112781524658,143.80967712402344,,972.4461059570312,1000089228,28.579986572265625,1980
1.4561,3471.5166015625,,China,,3.7749037742614746,126.62657928466797,,908.7875366210938,1014022211,21.562393188476562,1981
1.5629,3623.562744140625,,China,,7.423410415649414,116.96926879882812,,886.9631958007812,1027948989,26.319183349609375,1982
1.6253,3826.635009765625,,China,,9.181137084960938,118.0513916015625,,892.2402954101562,1042431401,35.493011474609375,1983
1.7434,4099.77392578125,,China,,13.690019607543945,118.3907470703125,,911.8463134765625,1058171973,1.1761322021484375,1984
1.8577,4403.41357421875,,China,,11.896561622619629,121.1587905883789,,939.5781860351562,1075589363,16.4788818359375,1985
1.9216,4521.7900390625,,China,,7.341433525085449,126.64896392822266,,981.1932983398438,1095014106,6.39031982421875,1986
2.0229,4813.4248046875,,China,,9.881163597106934,125.43067932128906,,1023.4193725585938,1116095475,16.19140625,1987
2.1322,5072.60302734375,,China,,9.446171760559082,126.32386016845703,,1080.541259765625,1137724234,27.037933349609375,1988
2.1269,5220.23876953125,,China,,2.620859146118164,130.93869018554688,,1111.6834716796875,1158357393,27.325439453125,1989
2.1114,5212.50927734375,1895767,China,,2.4065585136413574,131.00987243652344,,1083.00634765625,1176883681,24.842437744140625,1990
2.1847,5393.11083984375,1896715,China,,7.782092094421387,130.8733673095703,,1156.1295166015625,1192897277,-6.055755615234375,1991
2.263,5578.3818359375,1898568,China,,12.833209991455078,131.8808135986328,,1239.66015625,1206711243,18.23681640625,1992
2.3971,5883.0458984375,1893795,China,,12.58199691772461,138.6334228515625,,1365.0745849609375,1218817059,62.82342529296875,1993
2.5203,6212.63671875,1874478,China,,11.766388893127441,143.87672424316406,,1374.48046875,1230020026,47.68377685546875,1994
2.706,6234.76708984375,1854833,China,,9.754955291748047,144.08294677734375,,1471.1907958984375,1240920539,77.30316162109375,1995
2.7989,6467.845703125,1844862,China,,8.776430130004883,149.69393920898438,,1616.3072509765625,1251636178,-13.9832763671875,1996
2.7814,6285.21142578125,1823150,China,,8.124497413635254,156.8826141357422,,1760.3426513671875,1261996017,27.79449462890625,1997
2.6419,6188.54248046875,1805101,China,,6.816064357757568,160.5081024169922,,1798.4454345703125,1271982349,8.30718994140625,1998
2.6144,6319.88916015625,1819463,China,,6.733485698699951,169.042724609375,,1901.8465576171875,1281514833,-6.3446044921875,1999
2.6649,6362.71435546875,1849455,China,,7.63859748840332,191.3582000732422,,2035.4842529296875,1290550767,76.79150390625,2000
2.7056,6647.33740234375,1857894,China,,7.551654815673828,212.80223083496094,,2065.42041015625,1299129747,157.8133544921875,2001
2.9622,7241.70361328125,1875572,China,,8.404879570007324,224.98582458496094,,2214.856689453125,1307352256,27.5745849609375,2002
3.4555,8578.29296875,1893069,China,,9.354776382446289,259.8238830566406,,2459.327392578125,1315303522,-14.3516845703125,2003
3.9482,9942.8857421875,1923489,China,,9.46155834197998,302.20263671875,,2855.276123046875,1323084639,198.11614990234375,2004
4.4159,11576.029296875,1906271,China,,10.741374969482422,352.9902648925781,,2884.39697265625,1330776380,131.26416015625,2005
4.8481,12640.669921875,1843038,China,,12.093304634094238,431.7347717285156,,3075.86865234375,1338408644,117.68408203125,2006
5.1847,13687.9619140625,1813410,China,,13.635820388793945,528.0699462890625,,3204.7451171875,1345993891,146.818603515625,2007
5.5386,13827.083984375,1825242,China,,9.090280532836914,605.3098754882812,,3256.642333984375,1353569480,458.781982421875,2008
5.7939,14403.0712890625,1843023,China,,8.855947494506836,662.8419799804688,,3364.97314453125,1361169410,-7.6204833984375,2009
6.295,14858.9677734375,1870627,China,,10.102832794189453,795.3916015625,,3809.50439453125,1368810604,329.151611328125,2010
6.9223,16084.765625,1874037,China,,8.953816413879395,981.93310546875,,3916.267822265625,1376497633,6.968994140625,2011
7.0623,16195.9150390625,1854111,China,,7.134523868560791,1089.993408203125,,4084.867431640625,1384206408,560.366943359375,2012
7.1506,16450.666015625,1845363,China,,7.050734043121338,1234.863037109375,,4244.2275390625,1391883335,252.469482421875,2013
7.1353,16371.5068359375,1844224,China,,6.750760078430176,1345.9759521484375,,4389.2236328125,1399453966,519.7685546875,2014
7.0003,15976.998046875,1848574,China,2362092814336,6.420736312866211,1383.8704833984375,2003257131008,4698.37255859375,1406847868,253.815673828125,2015
6.8742,15751.8173828125,1856583,China,,6.238215446472168,1481.14404296875,,4825.55859375,1414049353,330.7275390625,2016
6.9812,15747.7421875,1840441,China,,6.301863193511963,1697.7374267578125,,5054.9345703125,1421021794,368.09326171875,2017
7.2077,15770.544921875,1828243,China,,6.251700401306152,1988.7679443359375,,5277.67578125,1427647789,435.9326171875,2018
7.3163,15828.0791015625,1848274,China,,5.574532985687256,2150.790283203125,,5520.4814453125,1433783692,462.5673828125,2019
7.4117,15897.9208984375,,China,,2.116522789001465,2338.718017578125,,5547.36376953125,1439323774,435.3291015625,2020
,16573.73828125,,China,,,2622.14501953125,,5885.25732421875,1444216102,706.28955078125,2021
0.4178,943.6473999023438,,India,16578188288,4.2989821434021,16.21143913269043,17388570624,539.1152954101562,698952837,3.7636260986328125,1980
0.4407,1037.4027099609375,,India,16442755072,3.5712757110595703,27.65193748474121,19132542976,567.044677734375,715384997,10.76812744140625,1981
0.4448,1002.2732543945312,,India,17432692736,1.093955397605896,35.41814422607422,19793412096,577.2105102539062,732239498,-27.273162841796875,1982
0.4704,1039.522216796875,,India,17273198592,4.8280348777771,41.175018310546875,24144832512,592.9220581054688,749428958,-5.371002197265625,1983
0.4719,1067.1298828125,,India,18533769216,1.4643679857254028,46.08640670776367,20684863488,622.1260375976562,766833411,16.674911499023438,1984
0.5074,1093.11669921875,,India,17363378176,2.902381658554077,55.1128044128418,23554041856,659.9467163085938,784360012,-5.527801513671875,1985
0.5321,1148.7138671875,,India,18306623488,2.4751663208007812,75.31434631347656,27578005504,678.6487426757812,801975250,2.234649658203125,1986
0.556,1234.17333984375,,India,20636559360,1.7194868326187134,84.8829116821289,27117944832,685.3470458984375,819682095,-10.663589477539062,1987
0.5877,1296.2359619140625,,India,22178742272,7.299419403076172,97.3228759765625,29611296768,736.1475830078125,837468938,16.714126586914062,1988
0.6327,1379.508056640625,,India,24835563520,3.7343764305114746,113.29436492919922,30228506624,780.7149658203125,855334675,25.887939453125,1989
0.6625,1461.190185546875,1332685,India,27593408512,3.36507248878479,132.7496795654297,31245944832,794.7736206054688,873277799,9.1612548828125,1990
0.6911,1523.525634765625,1340608,India,30259562496,-0.9835736751556396,144.8579559326172,31250694144,792.2385864257812,891273202,22.669708251953125,1991
0.7215,1581.7061767578125,1343393,India,31740235776,3.390418291091919,158.7438507080078,37853364224,818.4107055664062,909307018,-11.403121948242188,1992
0.731,1606.2314453125,1336597,India,36113911808,2.7067272663116455,158.15206909179688,45146673152,810.9118041992188,927403866,2.4284820556640625,1993
0.7582,1625.7235107421875,1330688,India,40824492032,4.606289386749268,167.6912841796875,55350538240,854.764404296875,945601828,28.725845336914062,1994
0.7906,1692.6810302734375,1322703,India,53641777152,5.529881477355957,187.54441833496094,70918365184,935.0872192382812,963922586,-11.197906494140625,1995
0.8407,1708.613525390625,1342791,India,57015701504,5.530416488647461,200.85931396484375,69187969024,990.2236938476562,982365248,-18.536544799804688,1996
0.8589,1753.7841796875,1402370,India,55688273920,2.123014450073242,214.3334503173828,78321254400,1038.9207763671875,1000900028,4.454833984375,1997
0.8609,1778.997802734375,1412747,India,63420211200,4.248843669891357,230.92941284179688,94647779328,1092.2269287109375,1019483586,40.94929504394531,1998
0.9169,1730.8028564453125,1385403,India,74835517440,6.898116111755371,232.38938903808594,101266030592,1177.755859375,1038058154,-1.748809814453125,1999
0.9265,1808.8306884765625,1387431,India,88420786176,2.0210886001586914,240.0461883544922,105913851904,1212.6319580078125,1056575548,-15.145904541015625,2000
0.9233,1792.514404296875,1404542,India,92231303168,3.027376651763916,236.53717041015625,109032218624,1195.369384765625,1075000094,-13.38958740234375,2001
0.9357,1840.99365234375,1410495,India,111678275584,2.064876079559326,242.87933349609375,122112622592,1199.6832275390625,1093317187,-2.7729339599609375,2002
0.9533,1896.48193359375,1391459,India,122379534336,6.093705177307129,255.7472686767578,139066638336,1202.0863037109375,1111523146,3.61346435546875,2003
0.9963,1986.085205078125,1341668,India,155637907456,6.193652629852295,271.4987487792969,169932800000,1251.937255859375,1129623466,99.17469787597656,2004
1.0334,2140.19873046875,1373204,India,196236165120,6.231949806213379,299.1054382324219,224769507328,1253.16455078125,1147609924,-6.97906494140625,2005
1.0809,2187.81201171875,1420870,India,236256182272,6.403284072875977,307.8302307128906,273105403904,1303.499267578125,1165486291,56.3436279296875,2006
