Entity,Category,Year,Value
Australia,Coal per capita (kWh),1980,22261.7890625
Australia,Gas per capita (kWh),1980,7585.881835938
Australia,Oil per capita (kWh),1980,25209.591796875
Australia,Coal per capita (kWh),1981,22544.05078125
Australia,Gas per capita (kWh),1981,8116.832519531
Australia,Oil per capita (kWh),1981,24525.4375
Australia,Coal per capita (kWh),1982,22476.533203125
Australia,Gas per capita (kWh),1982,7809.549804688
Australia,Oil per capita (kWh),1982,23822.97265625
Australia,Coal per capita (kWh),1983,22149.6171875
Australia,Gas per capita (kWh),1983,8363.131835938
Australia,Oil per capita (kWh),1983,21065.544921875
Australia,Coal per capita (kWh),1984,23075.87109375
Australia,Gas per capita (kWh),1984,8125.267089844
Australia,Oil per capita (kWh),1984,21459.869140625
Australia,Coal per capita (kWh),1985,23502.71875
Australia,Gas per capita (kWh),1985,8551.801757812
Australia,Oil per capita (kWh),1985,21246.666015625
Australia,Coal per capita (kWh),1986,23715.044921875
Australia,Gas per capita (kWh),1986,9192.935546875
Australia,Oil per capita (kWh),1986,20615.384765625
Australia,Coal per capita (kWh),1987,24306.818359375
Australia,Gas per capita (kWh),1987,9231.485351562
Australia,Oil per capita (kWh),1987,20803.720703125
Australia,Coal per capita (kWh),1988,25149.3671875
Australia,Gas per capita (kWh),1988,9299.233398438
Australia,Oil per capita (kWh),1988,21393.60546875
Australia,Coal per capita (kWh),1989,25963.78125
Australia,Gas per capita (kWh),1989,9984.189453125
Australia,Oil per capita (kWh),1989,21928.708984375
Australia,Coal per capita (kWh),1990,26198.791015625
Australia,Gas per capita (kWh),1990,9891.12890625
Australia,Oil per capita (kWh),1990,22103.26171875
Australia,Coal per capita (kWh),1991,26369.056640625
Australia,Gas per capita (kWh),1991,9355.915039062
Australia,Oil per capita (kWh),1991,21095.810546875
Australia,Coal per capita (kWh),1992,26201.220703125
Australia,Gas per capita (kWh),1992,9560.271484375
Australia,Oil per capita (kWh),1992,21293.1328125
Australia,Coal per capita (kWh),1993,26068.4765625
Australia,Gas per capita (kWh),1993,9798.9765625
Australia,Oil per capita (kWh),1993,21703.537109375
Australia,Coal per capita (kWh),1994,26309.138671875
Australia,Gas per capita (kWh),1994,10763.057617188
Australia,Oil per capita (kWh),1994,22225.951171875
Australia,Coal per capita (kWh),1995,26908.490234375
Australia,Gas per capita (kWh),1995,10749.448242188
Australia,Oil per capita (kWh),1995,23774.5546875
Australia,Coal per capita (kWh),1996,27706.345703125
Australia,Gas per capita (kWh),1996,10711.072265625
Australia,Oil per capita (kWh),1996,24135.94921875
Australia,Coal per capita (kWh),1997,28794.9296875
Australia,Gas per capita (kWh),1997,10404.247070312
Australia,Oil per capita (kWh),1997,24259.140625
Australia,Coal per capita (kWh),1998,29756.4140625
Australia,Gas per capita (kWh),1998,10596.271484375
Australia,Oil per capita (kWh),1998,23993.626953125
Australia,Coal per capita (kWh),1999,31266.615234375
Australia,Gas per capita (kWh),1999,10737.625
Australia,Oil per capita (kWh),1999,24278.763671875
Australia,Coal per capita (kWh),2000,31154.146484375
Australia,Gas per capita (kWh),2000,10823.341796875
Australia,Oil per capita (kWh),2000,24009.85546875
Australia,Coal per capita (kWh),2001,30513.21875
Australia,Gas per capita (kWh),2001,11549.72265625
Australia,Oil per capita (kWh),2001,23813.130859375
Australia,Coal per capita (kWh),2002,30867.521484375
Australia,Gas per capita (kWh),2002,11759.38671875
Australia,Oil per capita (kWh),2002,23811.45703125
Australia,Coal per capita (kWh),2003,31390.9609375
Australia,Gas per capita (kWh),2003,11717.334960938
Australia,Oil per capita (kWh),2003,23453.736328125
Australia,Coal per capita (kWh),2004,32290.357421875
Australia,Gas per capita (kWh),2004,11797.791015625
Australia,Oil per capita (kWh),2004,23707.44140625
Australia,Coal per capita (kWh),2005,31628.76171875
Australia,Gas per capita (kWh),2005,11526.591796875
Australia,Oil per capita (kWh),2005,23723.3125
Australia,Coal per capita (kWh),2006,31934.583984375
Australia,Gas per capita (kWh),2006,12638.936523438
Australia,Oil per capita (kWh),2006,24049.234375
Australia,Coal per capita (kWh),2007,31066.740234375
Australia,Gas per capita (kWh),2007,13874.231445312
Australia,Oil per capita (kWh),2007,24204.53515625
Australia,Coal per capita (kWh),2008,31749.583984375
Australia,Gas per capita (kWh),2008,13376.4140625
Australia,Oil per capita (kWh),2008,24034.73046875
Australia,Coal per capita (kWh),2009,30107.384765625
Australia,Gas per capita (kWh),2009,13395.537109375
Australia,Oil per capita (kWh),2009,23177.978515625
Australia,Coal per capita (kWh),2010,27416.060546875
Australia,Gas per capita (kWh),2010,14311.383789062
Australia,Oil per capita (kWh),2010,23440.0390625
Australia,Coal per capita (kWh),2011,26269.505859375
Australia,Gas per capita (kWh),2011,14550.416992188
Australia,Oil per capita (kWh),2011,24272.794921875
Australia,Coal per capita (kWh),2012,24208.412109375
Australia,Gas per capita (kWh),2012,14390.98828125
Australia,Oil per capita (kWh),2012,24511.88671875
Australia,Coal per capita (kWh),2013,22629.279296875
Australia,Gas per capita (kWh),2013,14910.36328125
Australia,Oil per capita (kWh),2013,24856.556640625
Australia,Coal per capita (kWh),2014,22117.263671875
Australia,Gas per capita (kWh),2014,15773.971679688
Australia,Oil per capita (kWh),2014,24386.244140625
Australia,Coal per capita (kWh),2015,22580.642578125
Australia,Gas per capita (kWh),2015,16210.5078125
Australia,Oil per capita (kWh),2015,23841.1640625
Australia,Coal per capita (kWh),2016,22258.94140625
Australia,Gas per capita (kWh),2016,15608.681640625
Australia,Oil per capita (kWh),2016,23563.857421875
Australia,Coal per capita (kWh),2017,21213.50390625
Australia,Gas per capita (kWh),2017,15096.584960938
Australia,Oil per capita (kWh),2017,24388.40625
Australia,Coal per capita (kWh),2018,20438.5546875
Australia,Gas per capita (kWh),2018,14767.408203125
Australia,Oil per capita (kWh),2018,24504.27734375
Australia,Coal per capita (kWh),2019,19298.802734375
Australia,Gas per capita (kWh),2019,17427.26953125
Australia,Oil per capita (kWh),2019,23972.92578125
Australia,Coal per capita (kWh),2020,18373.634765625
Australia,Gas per capita (kWh),2020,16900.3203125
Australia,Oil per capita (kWh),2020,20477.2421875
Australia,Coal per capita (kWh),2021,17564.923828125
Australia,Gas per capita (kWh),2021,15281.1328125
Australia,Oil per capita (kWh),2021,20798.220703125
